Medicine Name,Generic Name,Physical Description,Common Brand Names,Standard Dosage Forms,Typical Usage
Nurokind,Methylcobalamin,Red oval capsule,Nurokind/Mecobal,1500mcg daily,Nerve health
Levocet,Levocetirizine,White oval tablet,Levocet/Xyzal,5mg once daily,Allergy relief
Udiliv,Ursodeoxycholic Acid,White round tablet,Udiliv/Ursocol,300mg twice daily,Liver health
Glimfirst-M,Glimepiride + Metformin,White oval scored tablet,Glimfirst-M/Amaryl-M,2mg+500mg twice daily,Diabetes control
Pantosec D,Pantoprazole + Domperidone,Blue and white capsule,Pantosec-D/Pan-D,40mg+30mg daily,Acidity relief
Cartigen,Glucosamine + Chondroitin,White capsule,Cartigen/Jointace,Once daily,Joint health
Volix,Voglibose,White round tablet,Volix/Voglistar,0.2mg/0.3mg thrice daily,Diabetes control
Telista,Telmisartan + Amlodipine,White oval tablet,Telista/Telma-AM,40mg+5mg once daily,Blood pressure control
Meganeuron,Pregabalin,White capsule,Meganeuron/Pregabalin,75mg twice daily,Nerve pain
Starpress XL,Metoprolol Extended Release,White round tablet,Starpress/Metolar XL,25mg once daily,Heart condition
Rabonik DSR,Rabeprazole + Domperidone SR,Blue and white capsule,Rabonik-DSR/Rablet-DSR,20mg+30mg daily,Gastric problems
Hexidine,Chlorhexidine,Red mouthwash,Hexidine/Chlorhex,Rinse twice daily,Oral antiseptic
Uprise D3,Vitamin D3,Soft gelatin capsule,Uprise/D-Rise,60000IU weekly,Vitamin D supplement
Cetapin,Metformin,White round tablet,Cetapin/Glucophage,500mg twice daily,Diabetes control
Stamlo,Amlodipine,White round tablet,Stamlo/Amlopres,5mg once daily,Blood pressure control
Roxid,Roxithromycin,White film-coated tablet,Roxid/Rulide,150mg twice daily,Antibiotic
Olanex F,Olanzapine,Yellow round tablet,Olanex/Olimelt,5mg/10mg once daily,Antipsychotic
Roseday,Rosuvastatin,Pink oval tablet,Roseday/Rosuvas,10mg once daily,Cholesterol control
Epsolin,Eprosartan,White oval tablet,Epsolin/Teveten,600mg once daily,Blood pressure control
Glimestar-M,Glimepiride + Metformin,White oval tablet,Glimestar-M/Amaryl-M,1mg+500mg twice daily,Diabetes control
Rozucor,Rosuvastatin,Pink round tablet,Rozucor/Rosuvas,10mg once daily,Cholesterol control
Nervijen,Vitamin B Complex,Yellow capsule,Nervijen/Neurobion,Once daily,Nerve supplement
Rabiplus,Rabeprazole + Domperidone,Blue and white capsule,Rabiplus/Rablet-D,20mg+30mg daily,Acidity control
Mondeslor,Montelukast + Desloratadine,Yellow film-coated tablet,Mondeslor,,
